model,alpha[1],beta[1],gamma[1],mu,nu,omega
ARCH(1),0.3985124721491041,,,0.06132457316245778,,0.8461663124949622
"GARCH(1,1)",0.10880197421328038,0.8773041743481601,,0.07435204705323538,,0.01817038575522209
GARCH-t,0.1045846717581486,0.8931593467834391,,0.08430549138148677,5.871059756372616,0.010430951213988389
GJR-GARCH-t,0.0,0.8900186658655176,0.19468301513536043,0.0590907729931989,6.530412261135418,0.015481718198885754
