model,shock_percent,next_variance_percent_squared,next_daily_volatility_percent
ARCH(1),-4.0,7.2223658668806285,2.687445974690585
ARCH(1),-2.0,2.4402162010913786,1.5621191379313482
ARCH(1),-1.0,1.2446787846440663,1.1156517308927847
ARCH(1),1.0,1.2446787846440663,1.1156517308927847
ARCH(1),2.0,2.4402162010913786,1.5621191379313482
ARCH(1),4.0,7.2223658668806285,2.687445974690585
"GARCH(1,1)",-4.0,2.9032767456665693,1.7039004506327737
"GARCH(1,1)",-2.0,1.5976530551072048,1.2639830121909095
"GARCH(1,1)",-1.0,1.2712471324673635,1.1274959567410268
"GARCH(1,1)",1.0,1.2712471324673635,1.1274959567410268
"GARCH(1,1)",2.0,1.5976530551072048,1.2639830121909095
"GARCH(1,1)",4.0,2.9032767456665693,1.7039004506327737
GARCH-t,-4.0,2.84874049863643,1.6878212282811322
GARCH-t,-2.0,1.5937244375386472,1.262427993011343
GARCH-t,-1.0,1.2799704222642014,1.1313577781869895
GARCH-t,1.0,1.2799704222642014,1.1313577781869895
GARCH-t,2.0,1.5937244375386472,1.262427993011343
GARCH-t,4.0,2.84874049863643,1.6878212282811322
GJR-GARCH-t,-4.0,4.291268344698341,2.071537676388808
GJR-GARCH-t,-2.0,1.955072163074015,1.398238950635411
GJR-GARCH-t,-1.0,1.371023117667934,1.170906963711436
GJR-GARCH-t,1.0,1.1763401025325735,1.0845921364884468
GJR-GARCH-t,2.0,1.1763401025325735,1.0845921364884468
GJR-GARCH-t,4.0,1.1763401025325735,1.0845921364884468
