Date,return,daily_variance,daily_downside_variance
1993-02-01,0.007112712297309365,5.059067622429586e-05,0.0
1993-02-02,0.0021184844899335697,4.4879765340890976e-06,0.0
1993-02-03,0.010570657004191908,0.00011173878950027144,0.0
1993-02-04,0.004184174404014307,1.750731544320848e-05,0.0
1993-02-05,-0.0006947012406228747,4.826098137229613e-07,4.826098137229613e-07
1993-02-08,0.0,0.0,0.0
1993-02-09,-0.006948673148817974,4.82840585291039e-05,4.82840585291039e-05
1993-02-10,0.0013987741405863119,1.9565690963729755e-06,0.0
1993-02-11,0.004891707761845998,2.3928804827304382e-05,0.0
1993-02-12,-0.007649019649848876,5.8507501603774224e-05,5.8507501603774224e-05
1993-02-16,-0.02522811529873359,0.0006364578015261958,0.0006364578015261958
1993-02-17,-0.0007189334711502626,5.168653359401655e-07,5.168653359401655e-07
1993-02-18,-0.0007190506579068945,5.170338486363378e-07,5.170338486363378e-07
1993-02-19,0.003599842010492571,1.2958862500507196e-05,0.0
1993-02-22,0.0035867700695935145,1.2864919532131866e-05,0.0
1993-02-23,-0.0007152989958548739,5.116526534709909e-07,5.116526534709909e-07
1993-02-24,0.012876165728626487,0.0001657956438710553,0.0
1993-02-25,0.0021184844899335697,4.4879765340890976e-06,0.0
1993-02-26,0.0014090238344321993,1.985348165998018e-06,0.0
1993-03-01,-0.002815021734866696,7.924347367771904e-06,7.924347367771904e-06
1993-03-02,0.014820034976302798,0.00021963343669883828,0.0
1993-03-03,0.004172459708695175,1.7409420020684627e-05,0.0
1993-03-04,-0.005540522920064794,3.0697394227763316e-05,3.0697394227763316e-05
1993-03-05,-0.0027845339638562505,7.753629395869002e-06,7.753629395869002e-06
1993-03-08,0.022345929634956407,0.000499340571250423,0.0
1993-03-09,-0.0034157286846079327,1.1667202446853439e-05,1.1667202446853439e-05
1993-03-10,0.002056888392232503,4.230789858100812e-06,0.0
1993-03-11,-0.0027359248321272567,7.485284687050558e-06,7.485284687050558e-06
1993-03-12,-0.010288208198666937,0.00010584722793911758,0.00010584722793911758
1993-03-15,0.0048514117857236805,2.353619631465863e-05,0.0
1993-03-16,0.0,0.0,0.0
1993-03-17,-0.00620681207673035,3.8524516155845725e-05,3.8524516155845725e-05
1993-03-18,0.006245577200725938,3.900723457022764e-05,0.0
1993-03-19,-0.0015131232841892883,2.2895420731557777e-06,2.2895420731557777e-06
1993-03-22,-0.005552071118867796,3.0825493708965905e-05,3.0825493708965905e-05
1993-03-23,0.0020928590127227142,4.3800588471346944e-06,0.0
1993-03-24,0.0,0.0,0.0
1993-03-25,0.006267853879216023,3.928599225120335e-05,0.0
1993-03-26,-0.005536092457876451,3.064831970215653e-05,3.064831970215653e-05
1993-03-29,0.004174913942806002,1.742990642983596e-05,0.0
1993-03-30,0.0027719600317974713,7.683762417882638e-06,0.0
1993-03-31,-0.0006906918921308902,4.770552898553493e-07,4.770552898553493e-07
1993-04-01,-0.003457377384243121,1.1953458377075805e-05,1.1953458377075805e-05
1993-04-02,-0.02081907605541633,0.00043343392780120955,0.00043343392780120955
1993-04-05,0.00496054891521891,2.46070455402795e-05,0.0
1993-04-06,-0.0028211428969765473,7.958847245161226e-06,7.958847245161226e-06
1993-04-07,0.0035367184554013775,1.2508377432776706e-05,0.0
1993-04-08,-0.001410122899188293,1.988446590815197e-06,1.988446590815197e-06
1993-04-12,0.014114970323886311,0.00019923238724419123,0.0
1993-04-13,0.0020871873686649778,4.3563511119146335e-06,0.0
1993-04-14,-0.0013884063229293586,1.9276721175502226e-06,1.9276721175502226e-06
1993-04-15,0.0,0.0,0.0
1993-04-16,0.0,0.0,0.0
1993-04-19,-0.00417293442016986,1.741338167503837e-05,1.741338167503837e-05
1993-04-20,-0.004888038366571479,2.389291907307477e-05,2.389291907307477e-05
1993-04-21,-0.0007022094975233095,4.930981784119389e-07,4.930981784119389e-07
1993-04-22,-0.012640335568638639,0.0001597780832877911,0.0001597780832877911
1993-04-23,-0.004267360142868881,1.821036258894592e-05,1.821036258894592e-05
1993-04-26,-0.007856547948203452,6.172534566241987e-05,6.172534566241987e-05
1993-04-27,0.01079880456720228,0.00011661418008062883,0.0
1993-04-28,-0.0021364822617335744,4.564556454702209e-06,4.564556454702209e-06
1993-04-29,0.004282271199711474,1.8337846627878346e-05,0.0
1993-04-30,0.0014217567648897589,2.021392298509793e-06,0.0
1993-05-03,0.006387250888848728,4.0796973917098864e-05,0.0
1993-05-04,0.003526350559712732,1.2435148269986299e-05,0.0
1993-05-05,0.0028098293465446122,7.895140956703322e-06,0.0
1993-05-06,-0.003503415024868284,1.2273916836472838e-05,1.2273916836472838e-05
1993-05-07,-0.0021088943623894796,4.447435431718129e-06,4.447435431718129e-06
1993-05-10,0.002113351196814106,4.466253281075615e-06,0.0
1993-05-11,0.004219501247884505,1.7804190780898896e-05,0.0
1993-05-12,-0.0013999188264122164,1.9597727205433572e-06,1.9597727205433572e-06
1993-05-13,-0.011921502717445298,0.00014212222704205563,0.00014212222704205563
1993-05-14,-0.0007102619217512762,5.04471997489816e-07,5.04471997489816e-07
1993-05-17,0.0035510822035040857,1.2610184816043432e-05,0.0
1993-05-18,-0.0007073899769654002,5.004005795111094e-07,5.004005795111094e-07
1993-05-19,0.020538943946185828,0.0004218482184245635,0.0
1993-05-20,0.0027752674043772796,7.702109165799003e-06,0.0
1993-05-21,-0.008996782218074095,8.094209027945424e-05,8.094209027945424e-05
1993-05-24,0.004190420771241099,1.7559626240048847e-05,0.0
1993-05-25,0.0020865826737663795,4.353827254462054e-06,0.0
1993-05-26,0.01249112300812616,0.0001560281540041387,0.0
1993-05-27,-0.0034274810127477018,1.1747626092746012e-05,1.1747626092746012e-05
1993-05-28,-0.004814458983346093,2.3179015302321892e-05,2.3179015302321892e-05
1993-06-01,0.009675117780600262,9.360790406848734e-05,0.0
1993-06-02,-0.001368222566830557,1.872032992384398e-06,1.872032992384398e-06
1993-06-03,-0.0034274810127477018,1.1747626092746012e-05,1.1747626092746012e-05
1993-06-04,-0.0034381271106699307,1.1820718029123565e-05,1.1820718029123565e-05
1993-06-07,-0.0034507525240865533,1.1907692982489719e-05,1.1907692982489719e-05
1993-06-08,-0.00900331506213825,8.105968210812549e-05,8.105968210812549e-05
1993-06-09,0.00349369636339536,1.2205914279601964e-05,0.0
1993-06-10,0.0006970620027517693,4.858954356803077e-07,0.0
1993-06-11,0.004174913942806002,1.742990642983596e-05,0.0
1993-06-14,-0.0013852129249003475,1.9188148473109758e-06,1.9188148473109758e-06
1993-06-15,-0.0020822379122159562,4.335714723069464e-06,4.335714723069464e-06
1993-06-16,0.0020865826737663795,4.353827254462054e-06,0.0
1993-06-17,0.003469372313617658,1.2036544250496741e-05,0.0
