model,training_observations,reserved_test_observations,parameter_count,persistence,aic_in_sample,log_likelihood_in_sample,convergence_flag
ARCH(1),6779,1684,3,0.3985124721491041,20178.558387969937,-10086.279193984969,0
"GARCH(1,1)",6779,1684,4,0.9861061485614405,18085.577437294545,-9038.788718647273,0
GARCH-t,6779,1684,5,0.9977440185415877,17739.43890652794,-8864.71945326397,0
GJR-GARCH-t,6779,1684,6,0.9873601734331978,17539.35929074326,-8763.67964537163,0
