strategy,year,net_return,average_exposure,partial_year
GJR downside rule,2021,0.28041564322208457,0.952191235059761,True
GJR downside rule,2022,-0.1348267221304501,0.7589641434262948,False
GJR downside rule,2023,0.2497644140793871,0.996,False
GJR downside rule,2024,0.1490895216799586,0.8849206349206349,False
GJR downside rule,2025,0.1718863792528409,0.872,False
GJR downside rule,2026,0.06870698160287958,0.9232954545454546,True
Historical downside rule,2021,0.24466523012161145,0.9462151394422311,True
Historical downside rule,2022,-0.12588484667591215,0.7669322709163346,False
Historical downside rule,2023,0.26175796706932775,1.0,False
Historical downside rule,2024,0.2110510385444162,0.8928571428571429,False
Historical downside rule,2025,0.15236507648123276,0.878,False
Historical downside rule,2026,0.06580454226965071,0.8920454545454546,True
Buy and hold SPY,2021,0.30440265488287377,1.0,True
Buy and hold SPY,2022,-0.18175368123865843,1.0,False
Buy and hold SPY,2023,0.2617579670693284,1.0,False
Buy and hold SPY,2024,0.24886468043810983,1.0,False
Buy and hold SPY,2025,0.17719055511914816,1.0,False
Buy and hold SPY,2026,0.11601696033757669,1.0,True
Fixed 50% SPY / 50% cash,2021,0.14429304505502216,0.5,True
Fixed 50% SPY / 50% cash,2022,-0.08912961258972629,0.5,False
Fixed 50% SPY / 50% cash,2023,0.12545329095341984,0.5,False
Fixed 50% SPY / 50% cash,2024,0.1195519909491709,0.5,False
Fixed 50% SPY / 50% cash,2025,0.0897605185564847,0.5,False
Fixed 50% SPY / 50% cash,2026,0.05789761367557711,0.5,True
