strategy,cost_bps,net_total_return,cagr,annualized_volatility,max_drawdown,average_exposure,annual_turnover,cost_dollars_per_10000,terminal_dollars_per_10000
GJR downside rule,0,1.0253171579233666,0.1319323522848932,0.13477233467873997,-0.1920264231700637,0.8965034965034965,5.751922531825414,0.0,20253.171579233665
Historical downside rule,0,1.0590751111071732,0.13522288636972934,0.13581798998367714,-0.19853442528366494,0.8961538461538462,2.9474670541910664,0.0,20590.75111107173
Buy and hold SPY,0,1.2117652552737748,0.14957286875916087,0.16684222899921564,-0.24496387071508752,1.0,0.3512019230769231,0.0,22117.65255273775
Fixed 50% SPY / 50% cash,0,0.5168277962343133,0.07590167713957952,0.08342111449960782,-0.12608215221640262,0.5,0.6436841663189851,0.0,15168.277962343132
GJR downside rule,5,0.9924170081635479,0.12868163362196938,0.13476598152779762,-0.19659895629827118,0.8965034965034965,5.751180681007621,230.7399101182097,19924.17008163548
Historical downside rule,5,1.0418665930509836,0.13355110119191993,0.13582299087307442,-0.2014972951531373,0.8961538461538462,2.947074706687581,116.2695356186956,20418.665930509836
Buy and hold SPY,5,1.2095545953484663,0.14937102036413252,0.16684509379385765,-0.24496387071508763,1.0,0.3511141664744551,16.050800875930925,22095.545953484663
Fixed 50% SPY / 50% cash,5,0.5140502552346964,0.07555545748339476,0.08342214252781294,-0.12633915419211394,0.5,0.6436710128964287,22.10219000399481,15140.502552346963
GJR downside rule,10,0.9600512500112635,0.12544024512945406,0.13476464230766186,-0.20114561019923283,0.8965034965034965,5.750440576812022,457.33918953675374,19600.512500112636
Historical downside rule,10,1.024801857214431,0.1318817744060048,0.13583053260324926,-0.2044492112439129,0.8961538461538462,2.9466832307027016,231.44742494454772,20248.018572144312
Buy and hold SPY,10,1.2073461438746373,0.14916920730987027,0.1668482201708413,-0.24496387071508685,1.0,0.3510264975409207,32.08556698575211,22073.461438746373
Fixed 50% SPY / 50% cash,10,0.5112777207828441,0.07520933930057727,0.08342329255376867,-0.12659606597282147,0.5,0.6436579289796464,44.1615389583001,15112.77720782844
