Date,next_variance_percent_squared,downside_5d_forecast,monte_carlo_se,historical_downside_5d
2019-12-31,0.24737672612970404,5.647671984152452e-05,7.432731822406411e-07,2.1641713870436853e-05
2020-01-02,0.23565162195502445,5.3887019990923936e-05,6.672552371818743e-07,1.039652765322332e-05
2020-01-03,0.35495112524708894,8.042602293870158e-05,1.0644146484287144e-06,2.4731730381290947e-05
2020-01-06,0.3313948451387641,7.492001385880444e-05,9.696282379462915e-07,2.4731730381290947e-05
2020-01-07,0.3329721523006358,7.670007103343918e-05,1.0107495040146991e-06,2.6708457011279632e-05
2020-01-08,0.3118331489598676,7.260299672392266e-05,1.1196453107546389e-06,2.423657803778769e-05
2020-01-09,0.2930190414087903,6.733181105006887e-05,9.502314507204917e-07,2.39258421371068e-05
2020-01-10,0.2996906038528892,6.802740078346053e-05,8.383848284454058e-07,2.5995459150045076e-05
2020-01-13,0.2822119496124656,6.345766748081689e-05,7.679951538598569e-07,2.5995459150045076e-05
2020-01-14,0.2753674778221901,6.393998324960698e-05,8.448852833234383e-07,2.6576473978849585e-05
2020-01-15,0.26056391343294394,6.130523885725519e-05,9.554730675116602e-07,2.6576473978849585e-05
2020-01-16,0.24738846480517274,5.755100567139646e-05,7.401599336986635e-07,2.6576473978849585e-05
2020-01-17,0.23566206959530414,5.54420882649475e-05,7.537306212621657e-07,2.6576473978849585e-05
2020-01-21,0.23787439796780863,5.5346547830902504e-05,7.320800195704514e-07,2.753497599812931e-05
2020-01-22,0.2276252490327323,5.274484881927512e-05,6.908395168120423e-07,2.753497599812931e-05
2020-01-23,0.21807243866030435,5.0399864823968376e-05,6.774873347566251e-07,2.753497599812931e-05
2020-01-24,0.3846763895266856,9.0137427976828e-05,1.2399056690197421e-06,4.730627256425175e-05
2020-01-27,0.895636363602141,0.0002036553806787463,2.5379045286208516e-06,0.00011154213125703365
2020-01-28,0.812614799632707,0.0001879308817172074,2.427977088583433e-06,0.00011152678295010216
2020-01-29,0.7426332045304274,0.00017085461776504535,2.2365066247777067e-06,0.00010409883514434938
2020-01-30,0.6764391321224907,0.00015118005403349198,1.8421992031619422e-06,0.00010409883514434938
2020-01-31,1.301893021155125,0.0003011524898251375,4.018868088161693e-06,0.00018652895582850883
2020-02-03,1.174190807986998,0.0002743413629495159,5.318312031429022e-06,0.00017219375310044118
2020-02-04,1.060533454595028,0.00025138353064663437,3.610208761584442e-06,0.00017219375310044118
2020-02-05,0.959376288563301,0.00021908173773936316,2.9512868776474984e-06,0.00017021702647045253
2020-02-06,0.8693445226090067,0.00019968710735939843,2.4778784764547566e-06,0.00017021702647045253
2020-02-07,0.8574565360534085,0.00019869522855226648,2.496777970298806e-06,0.00017731828648855246
2020-02-10,0.7786340404548086,0.00017734070814455957,2.203033131280794e-06,0.00017524866947561416
2020-02-11,0.7084805480819519,0.00016323176059321787,2.182195722944326e-06,0.00017524866947561416
2020-02-12,0.6460426303944553,0.0001484695025597655,1.8611931467817593e-06,0.00017466765464680968
2020-02-13,0.5958219078519409,0.00013676764089697336,1.8964100282226379e-06,0.00017495219584961862
2020-02-14,0.5457743377187175,0.00012712888925716008,1.7937225380923606e-06,0.00017495219584961862
2020-02-18,0.5207655748645246,0.00011804549568053617,1.4814524783064871e-06,0.00017661209627237265
2020-02-19,0.47897280036849926,0.00011462209391435618,5.019039648043066e-06,0.00017565359425309292
2020-02-20,0.48476651515021013,0.00011145621724147951,1.4763993846931667e-06,0.0001798730235970118
2020-02-21,0.6777754174348376,0.00015423101092877382,1.9474691259970617e-06,0.00020638644976694087
2020-02-24,2.837100080260906,0.0006653679317211951,8.968493039399722e-06,0.0004616005105154889
2020-02-25,4.398553603437056,0.0010258176127086616,1.3050322140843728e-05,0.0006269174732594965
2020-02-26,3.9657640240614422,0.0009265522766326452,1.1994648025454268e-05,0.0006303004225691757
2020-02-27,7.575946871599723,0.0017966018999889422,2.2573948160095162e-05,0.0011343917127682045
2020-02-28,6.80293012318904,0.0015508862541344925,2.2970122136429228e-05,0.0011388049866076556
2020-03-02,6.0702165104159365,0.0014173390736297153,1.949633071631554e-05,0.0010563748659234962
2020-03-03,7.080715938735738,0.001647155699822131,2.2038743161278177e-05,0.0012613324660846726
2020-03-04,6.317451071365173,0.001468943547250921,1.8534868485220767e-05,0.0012613324660846726
2020-03-05,7.866518219138595,0.0018228477857442425,2.1300984933071726e-05,0.0015375797023805442
2020-03-06,7.587581441452389,0.0017644106030506954,2.257359829229983e-05,0.0016059006080991738
2020-03-09,18.822235975853225,0.004495502404553334,5.4786293160200136e-05,0.003123496488479196
2020-03-10,16.76762307003372,0.0039478222716733055,4.813275926565524e-05,0.003123496488479196
2020-03-11,19.678248422866695,0.004659862599547354,6.362532464423889e-05,0.003717594251484992
2020-03-12,35.571947239242135,0.008484872451561008,0.000101320674051409,0.0060061404681163305
2020-03-13,31.67517874230775,0.007608251466740949,9.515861465687826e-05,0.0060058559269135225
2020-03-16,51.76994767611335,0.01206415776002805,0.00014633755875259068,0.008999250613369574
2020-03-17,46.09170148082094,0.010909936979444498,0.00012540155392276532,0.00899759071294682
2020-03-18,46.146193518382944,0.011263459455319681,0.00015197097924336022,0.009638512262641345
2020-03-19,41.08645530820207,0.009776208381022132,0.00011833273284618291,0.009634292833297427
